Order ID,AWB Code,Customer Pincode,Type of Shipment,Forward Charges Applicable,RTO Charges Applicable,Total weight as per X (KG),Weight slab as per X (KG),Delivery Zone as per X,Forward Fixed  Charges (X),Forward Additional Charges (X),RTO Fixed  Charges (X),RTO Additional Charges (X),Expected Charge as per X (Rs.),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone charged by Courier Company,Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),Discount Applied (%),Net Forward Charges (Rs.),Net RTO Charges (Rs.)
2001806232,1091117222124,507101,Forward charges,Yes,0,1.302,1.5,d,45.4,89.6,0,0,135,1.3,1.5,d,135,0,0.0%,135,0
2001806273,1091117222194,486886,Forward charges,Yes,0,0.615,1,d,45.4,44.8,0,0,90.2,1,1.5,d,90.2,0,0.0%,90.2,0
2001806408,1091117222931,532484,Forward charges,Yes,0,2.265,2.5,d,45.4,179.2,0,0,224.6,2.5,2.5,d,224.6,0,0.0%,224.6,0
2001806458,1091117223244,143001,Forward charges,Yes,0,0.7,1,b,33.0,28.3,0,0,61.3,1,1.5,b,61.3,0.0,0.0%,61.3,0
2001807012,1091117229345,515591,Forward charges,Yes,0,0.24,0.5,d,45.4,0,0,0,45.4,0.15,0.5,d,45.4,0,0.0%,45.4,0
2001806686,1091117229555,326502,Forward charges,Yes,0,0.24,0.5,d,45.4,0,0,0,45.4,0.15,0.5,d,45.4,0,0.0%,45.4,0
2001806885,1091117229776,208019,Forward charges,Yes,0,0.84,1,b,33.0,28.3,0,0,61.3,1,1.5,b,61.3,0.0,0.0%,61.3,0
2001807058,1091117323112,140301,Forward charges,Yes,0,1.168,1.5,b,33.0,56.6,0,0,89.6,1.15,1.5,b,89.6,0.0,0.0%,89.6,0
2001807186,1091117323812,396001,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.5,0.5,d,45.4,0,0.0%,45.4,0
2001807290,1091117324206,711106,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.5,0.5,d,45.4,0,0.0%,45.4,0
2001807814,1091117326612,284001,Forward charges,Yes,0,0.607,1,b,33.0,28.3,0,0,61.3,0.79,1,b,61.3,0.0,0.0%,61.3,0
2001807931,1091117327172,441601,Forward charges,Yes,0,0.607,1,d,45.4,44.8,0,0,90.2,0.72,1,d,90.2,0,0.0%,90.2,0
2001807956,1091117327275,248006,Forward charges,Yes,0,1.08,1.5,b,33.0,56.6,0,0,89.6,1.08,1.5,b,89.6,0.0,0.0%,89.6,0
2001807960,1091117327312,485001,Forward charges,Yes,0,0.93,1,d,45.4,44.8,0,0,90.2,1,1.5,d,90.2,0,0.0%,90.2,0
2001807930,1091117327695,845438,Forward charges,Yes,0,0.24,0.5,d,45.4,0,0,0,45.4,0.15,0.5,d,45.4,0,0.0%,45.4,0
2001808102,1091117435005,463106,Forward charges,Yes,0,1.157,1.5,d,45.4,89.6,0,0,135,1.28,1.5,d,135,0,0.0%,135,0
2001808118,1091117435134,140301,Forward charges,Yes,0,0.343,0.5,b,33.0,0,0,0,33.0,0.5,0.5,b,33,0.0,0.0%,33.0,0
2001808207,1091117435370,495671,Forward charges,Yes,0,0.607,1,d,45.4,44.8,0,0,90.2,0.79,1,d,90.2,0,0.0%,90.2,0
2001808295,1091117435661,673002,Forward and RTO charges,Yes,1,0.245,0.5,e,56.6,0,50.7,0,107.3,0.2,0.5,e,107.3,0.0,0.0%,56.6,50.7
2001808507,1091117436383,208002,Forward charges,Yes,0,0.607,1,b,33.0,28.3,0,0,61.3,0.79,1,b,61.3,0.0,0.0%,61.3,0
2001808542,1091117436464,416010,Forward charges,Yes,0,0.734,1,d,45.4,44.8,0,0,90.2,0.86,1,d,90.2,0,0.0%,90.2,0
